"","x","y","label"
"1",440.639079082,381.098122936,"Layer3"
"2",259.630972038,126.327637114,"Layer1"
"3",183.078314136,427.76779151,"WM"
"4",417.236738042,186.813687802,"Layer3"
"5",152.700275286,341.269138666,"Layer5"
"6",164.94149983,362.916304128,"Layer6"
"7",256.930701918,503.780395388,"WM"
"8",424.707485374,440.279043066,"Layer3"
"9",481.09812638,354.41045325,"Layer2"
"10",211.656172906,336.318643446,"Layer6"
"11",254.635472316,390.549068356,"WM"
"12",381.18813194,461.566172512,"Layer4"
"13",183.933399674,309.135924238,"Layer5"
"14",324.617472926,142.979302854,"Layer3"
"15",369.93700644,299.684978818,"Layer5"
"16",405.985612542,461.74619052,"Layer3"
"17",306.750685632,471.782194466,"Layer6"
"18",340.864098148,466.651681238,"Layer5"
"19",475.787595144,235.733581476,"Layer2"
"20",332.35824727,353.330345202,"Layer6"
"21",161.206126164,454.5454702,"WM"
"22",183.61836816,352.250237154,"Layer6"
"23",411.611175292,111.251128944,"Layer2"
"24",274.842493714,164.221427798,"Layer3"
"25",171.872193138,265.931602318,"Layer3"
"26",192.124219038,465.57157319,"WM"
"27",291.449154952,444.734488764,"Layer6"
"28",294.7794881,406.975711586,"Layer6"
"29",317.686779618,240.009009166,"Layer5"
"30",206.12061916,239.19892813,"Layer3"
"31",454.590474702,165.481553854,"Layer1"
"32",208.190826252,384.7884921,"WM"
"33",287.263736266,164.311436802,"Layer3"
"34",171.557161624,309.045915234,"Layer5"
"35",416.06662099,348.55986799,"Layer4"
"36",422.36725127,337.803792012,"Layer4"
"37",398.649878716,186.678674296,"Layer3"
"38",481.683184906,278.937903396,"Layer2"
"39",338.478859542,364.176430184,"Layer6"
"40",453.600375658,305.670577584,"Layer3"
"41",369.26193891,396.759689632,"Layer5"
"42",393.56436999,461.656181516,"Layer3"
"43",298.334843758,347.704782452,"Layer6"
"44",437.44375944,397.254739154,"Layer3"
"45",469.666982872,224.932500996,"Layer2"
"46",200.2700339,196.039610712,"Layer3"
"47",339.828994602,180.828089036,"Layer3"
"48",177.272733378,373.807393612,"Layer6"
"49",283.258335588,288.298839812,"Layer6"
"50",293.744384554,121.197123886,"Layer1"
"51",304.90550105,293.834393558,"Layer6"
"52",392.43925744,186.633669794,"Layer3"
"53",416.786693022,251.485157176,"Layer4"
"54",220.432050796,406.480662064,"WM"
"55",185.19352573,136.58866357,"Layer1"
"56",405.175531506,143.56436138,"Layer3"
"57",226.957703586,363.366349148,"WM"
"58",255.580566858,261.116120604,"Layer5"
"59",238.793887612,438.928908006,"WM"
"60",202.835290514,266.156624828,"Layer4"
"61",412.69128334,386.273640666,"Layer4"
"62",327.587770058,159.180923574,"Layer3"
"63",189.828989436,352.295241656,"Layer6"
"64",231.638171794,142.304235324,"Layer1"
"65",220.252032788,428.037818522,"WM"
"66",333.528364322,191.584165014,"Layer3"
"67",221.42214984,266.291638334,"Layer5"
"68",474.752491598,375.922605206,"Layer2"
"69",432.223237208,257.020710922,"Layer3"
"70",476.012617654,203.42034904,"Layer2"
"71",195.184525174,470.97211343,"WM"
"72",179.072913458,125.78758309,"Layer1"
"73",285.148524672,455.44556024,"Layer6"
"74",199.459952864,303.870397504,"Layer5"
"75",411.386152782,143.609365882,"Layer3"
"76",158.055811024,459.94601044,"WM"
"77",218.94690223,185.373543738,"Layer2"
"78",246.759684466,190.954101986,"Layer3"
"79",167.731778954,411.476161786,"WM"
"80",257.155724428,471.42215845,"WM"
"81",474.437460084,419.081922624,"Layer2"
"82",422.457260274,327.047716034,"Layer4"
"83",343.114323248,153.91539684,"Layer3"
"84",342.48426022,240.189027174,"Layer5"
"85",409.810995212,359.315943968,"Layer4"
"86",324.347445914,175.337539792,"Layer3"
"87",374.392452138,110.981101932,"Layer2"
"88",378.217834808,445.364551792,"Layer4"
"89",335.103521892,401.89020286,"Layer6"
"90",410.981112264,197.524759278,"Layer3"
"91",149.054910624,422.14222876,"WM"
"92",350.675079584,396.624676126,"Layer6"
"93",290.144024394,191.2691335,"Layer3"
"94",361.071119546,240.32404068,"Layer5"
"95",448.01981741,219.39694725,"Layer3"
"96",288.118821804,471.64718096,"Layer6"
"97",327.047716034,234.69847793,"Layer5"
"98",415.706584974,402.475261386,"Layer3"
"99",409.630977204,380.873100426,"Layer4"
"100",245.544562912,363.501362654,"WM"
"101",254.770485822,368.946907396,"WM"
"102",253.510359766,115.526556634,"Layer1"
"103",249.504959088,239.513959644,"Layer5"
"104",383.348348036,159.585964092,"Layer3"
